title,review,rating,date,label
Smartphone top muito mais do que eu eslerava,"Smartphone é muito top lindo, essa cor azul é muito mais linda, do que a gente ver nas imagens, é um azul bem suave, em relação a entrega, nossa foi muito rápido a Amazon tá de parabéns, já comprei em outras lojas mas o mínimo que levava pra chegar era uns 12 dias, e a Amazon me enviou esse smartphone dentro de 6 dias chegou aqui na minha cidade São Francisco de Assis PI, foi muito rápido e também gostei só de saber que a transportadora é via correios, me surpreendir com a velocidade da entrega, chegou muito antes do prazo que era previsto. Em relação o aparelho, nossa ainda estou usando a menos de um dia mas o aparelho é muito mais do que eu esperava, muito rápido, em relação as câmeras não tenho de que reclamar a câmera principal, umas das melhores que eu já vi, bem nítida e com cores bem vivas, e até me surpreendir com a qualidade do modo noturna que vem no aplicativo nativo da câmera do aparelho, é bem melhor do que eu esperava, a câmera frontal deixa um pouquinho a desejar como muitas gente fala nós comentários, é isso mesmo não é tão boa mas é mais melhor do que eu esperava, e se você instalar a gcam, nossa as imagens de sellf fica muito mais nítida e cores mais saturadas e com mais detalhes, e a câmera principal de 48, gente não é pq eu comprei o aparelho não mas me surpreendir com a qualidade que ela entrega, muito muito mais melhor do que eu esperava, e em relação o desempenho é bem fluído e rápido, só não gostei do carregador que veio que não é ataptado para o Brasil e não é turbo, mas isso não é problema, só usar um adaptador conhecido como T e pronto, pra sinal de celular ele tbem não é bom pra captar o sinal, em lugar onde o sinal chega fraco ele não pega muito bem, mas tirando isso eu recomendo o aparelho, além de ser ótimo tem um custo benefício e também a entrega rápido que eles dão aos clientes.",5.0,6/03/2020,Good
Custo-Benefício Resume Bem,"Durabilidade nao sei pois tem pouco tempo de uso. Aparenta ser um celular durável.Pontos positivos: quase todos.Pontos negativos:- som (meio baixo)- pra uma bateria de 4000mpah poderia durar mais. Mas isso não significa que é ruim. Comigo está durando em torno de 1 dia e 10 horas. Uso de forma ""média"". Não jogo praticamente. (+- 2h pra carga completa).- O ""ok Google* não funciona no momento. Talvez com alguma atualização futura consertem isso. Não uso tanto o recurso, mas fica o registro.",5.0,26/12/2019,Good
Entrega rápida e bom funcionamento,"Comprei pela Besta Sales BR. Chegou em 3 dias, perfeito e bem embalado. O celular está funcionando perfeitamente. O carregador é padrão americano, então precisa de uma adaptador para três pinos.Sobre o celular, o único ponto fraco é a câmera frontal. Mas para o preço e o modelo da Xiaomi, está perfeito. Dá pra tirar boas fotos.O som é ótimo, a tela é muito boa e o desempenho também.Pesquisem direito com que vendedor vão comprar, faz muita diferença. Às vezes o frete mais barato não é o melhor. Comprei pela Besta Sales e deu tudo certo até agora",5.0,17/07/2020,Good
Nota 10,"Comprei o celular no dia 04/12 , logo após a compra mandei um e-mail pro vendedor, ele me respondeu em 10 min .Recebi o produto no dia 06/12 ou seja com 2 dias....muito rápida mesmo .( Previsão de entrega seria dia 11/12)Produto muito bom, carregador padrão Brasil. Tudo em condições .Recomendo a 100% logo comprarei outro pra minha esposa .",5.0,7/12/2019,Good
Produto falsificado,Acabei de levar o produto na loja técnica especialidades Sabará com o celular da xiaomi adivinha minha surpresa ao descobrir que são produto falso que esse vendedor está vendendo então todo mundo que estiver comprando ele tome muito cuidado porque não tava entendendo o xiaomi é original ele está vendendo uma porcaria de um pirata e quem é ingênua e não tem conhecimento disso acaba se ferrando Como foi o meu caso pagando mais de r$ 1000 para uma porcaria pirata,1.0,5/02/2020,Bad
"Péssima aquisição, não recomendo","Não gostei desse celular, esperava bem mais pelo valor, já tive smartphone mais barato e com custo benefício bem melhor, não atendeu minha espectativa, em meses de uso já penso em trocar de aparelho, desde os primeiros dias de uso não consegui me adaptar, descarrega em menos de 24h quando utilizado, quando vc organiza os fotos em pastas ele simplesmente apaga as mesmas do nada, se não fosse a nuvem do Google teria perdido tudo que tinha no aparelho, fora que o que eles disponibilizam de nuvem da xiaomi de 5GB gratuitos sendo que o celular é de 64GB é ridículo. Não recomendo. Pegue seu dinheiro e compre outro aparelho. Porque esse não vale nada.",3.0,18/01/2021,Neutral
Aparelho bom com bateria ruim,"O aparelho em si é muito bom. Rápido, tela bem limpa, cores boas. Câmera traseira é muito boa, a frontal é okzinha. Só não gostei muito do som, achei meio abafado. Usei samsung a vida toda, achei que ficaria meio perdida usando xiaomi, mas é muito tranquilo, fora que tem trocentos vídeos no youtube pra ajudar com qualquer coisa. Tem muito app que a gente baixa em outros aparelhos que já vem padrão em aparelhos da xiamoi, isso curti demais. Gostei do aparelho, MAS quase arrependida porque a bateria dele é ruim demais. Ele veio com o MIUI 10 e atualizei pro 11. Mexi em todas as configurações possíveis pra ajudar na encomia de bateria, desativei um tanto de coisa. Uso celular basicamente pra redes sociais, assistir umas coisas e nem sou de jogar. A bateria dura quase o dia todo.  Pra quem usa mais, joga muito, vê séries e etc ou usa pra trabalhar com app e não tem como ficar carregando, não sei se compensa.*carregador veio com tomada tipo A (pino reto)",4.0,29/05/2020,Good
"Bom custo benefício,entrega rápida","Chegou muito antes do previsto, pedi na cor azul mas o vendedor me avisou que a caixa estava danificada se eu aceitaria o preto no lugar, fiquei com o preto e não me arrependo, chegou tudo perfeito, celular com uma aparência muito bonita, interface também bonita e prática, a bateria está dentro da expectativa, vamos ver com o tempo se as qualidades continuam, estou usando há dois dias e até aqui não tenho do que reclamar.",4.0,3/12/2019,Good
Redução da autonomia de bateria na nova versão da MIUI (11.0.0),"Não faltam avaliações pela internet desse produto, então vou me ater a um ponto específico, que está sendo particularmente relevante. O aparelho que recebi já veio com a versão atualizada da MIUI, a 11.0.0, que, no momento, parece estar drenando muito mais bateria do que a versão anterior, reduzindo sua autonomia em algumas horas. No entanto, ainda se mantém na ativa por um tempo bom... aconselho atualizar periodicamente o sistema, porque provavelmente isto deverá ser corrigido numa versão futura da MIUI.",4.0,25/01/2020,Good
Muito bom.,"Já faz quase uma semana que estou usando e eu nunca segurei um celular com um processador tão limpo e rápido assim na minha vida!! A tela é perfeita com as cores super nítidas e radiantes, a câmera eu fiquei chocada quando tirei algumas fotos de tão lindas que ficaram a qualidade é realmente muito boa e superou minhas expectativas... ele veio super bem embalado, sem nenhum defeito fisicamente e nem no sistema ou algo do tipo, o desbloqueio por digital é muito rápido e as funções especiais que ele tem também são muito interessantes fora que não tive nenhum problema com as funções básicas também. A única coisa que deixou a desejar foi a bateria que apesar de ser boa, carregar rápido e etc a durabilidade não é tuuudo isso não, sinto acabar bem rápido e as vezes eu nem uso algo que exige tanto dela como whatsapp e instagram mas enfim...Chegou com alguns dias de antecedência ( previsto para 25/05 - 28/05 e chegou dia 21/05 ) acompanhado da nota fiscal o que me deixou muito aliviada e logo no dia que chegou eu tive uma dúvida que foi respondida pela loja no dia seguinte, muito atenciosos. Amei minha compra e a dedicação da loja ( FÊNIX )",5.0,26/05/2020,Good
Produto excelente,"O produto atende as expectativas, câmeras de qualidade e bateria que atende o esperado, acabamento ótimo, justifica o preço comparado com outros produtos da mesma categoria. No entanto, na primeira compra, comprei três, um de cor azul e outros dois brancos, porém o azul veio com o carregador padrão americano e os de cor branco vieram padrão brasileiro, como esse detalhe me incomoda fiz a devolução do smartphone cor azul (o vendedor não soube explicar se viria ou não com plug brasileiro). Depois de pesquisar descobrir que um selo na caixa identifica se o plug no carregador do celular vem no padrão brasileiro, pesquisei o produto e perguntei outro vendedor de outra loja e dessa vez ele confirmou o selo e produto vem como eu queria. Quem se importa com esses detalhes é bom ficar atento.",4.0,9/03/2020,Good
Adorando!❤️,"A compra chegou muito rápida só pecou um pouco na embalagem pois a caixa do celular veio rasgada porém não danificou nada só a caixa msm, já estou usando o celular a semanas já chequei no site da Xiaomi e é Original e estou adorando, realmente é um celular de boa qualidade a Xiaomi arrasou.",5.0,9/11/2019,Good
Recomendo vendedor,"Ótima compra !!! produto ótimo lacrado Xiaomi redmi note 8 64gb entregue dentro do prazo vendedor enviou direitinho bem embalado acho que não comprarei em outra loja e nem outra marca de smartphone Xiaomi de parabéns , obs: transportadora trouxe a caixa fora um pouco amassada por falta de cuidado mas nada que prejudicou a caixa do smartphone nem o próprio",5.0,18/11/2019,Good
"Depois dele, virei xiaominion","Quando comprei esse celular fiquei extremamente receosa, pelo fato de não ser das marcas tradicionais aqui do país. Atualmente, já faz uns 8 meses que estou com ele e sou completamente apaixonada! Sistema fluido, atualizado constantemente, câmeras boas, bateria que dura satisfatoriamente mesmo com uso extremo... E isso tudo por um preço justo! Como nem tudo é perfeito, o sensor de aproximação dele é meio bugado e as vezes é um pouco irritante, mas ainda assim não estraga a experiência maravilhosa desses meses com ele. Recomendo demais!",5.0,26/10/2020,Good
"Perfeito, espetacular, satisfeito!!!!!!!","Incrível! Pode confiar, tudo entregue certo, bem embalado e protegido, sem nenhuma reclamação estou usando o aparelho a 2 dias, nenhum travamento, nada, perfeito. Sobre a entrega eu morando no Rio de Janeiro, depois que constou o pagamento, demorou só 6 dias, realmente incrível, dá pra vê nitidamente que não é nenhuma malandragem, entregam o que cumpre, parabéns!!! (Celular totalmente original, fiz todos os testes possíveis, original!)",5.0,9/04/2020,Good
Destaque pra excelente câmera traseira e uma frontal que também faz muito bonito.,"Melhor celular que já tive até agora. Comprei receoso por ser uma marca importada, mas espero que sua vida útil seja tão boa quanto as qualidades apresentadas até agora. Recomendo demais.Uso muito bluetooth por conta dos fones sem fio, além de ficar o dia inteiro conectado ao wi-fi, mas geralmente preciso liga-lo a tomada em intervalos de aproximadamente 25 à 27 horas de uso não contínuo.O som do auto falante é bem potente e limpo, mas a localização é - pra mim - pouco inteligente, ficando bem onde posiciono meu dedo mindinho direito no modo de digitação.Recebi a versão global com todos os itens listados na descrição da venda, inclusive nota fiscal. Estranho os relatos que li e sinto alívio em ter tido sorte (ou ter entendido o anúncio).Pra não dizer que tudo foi perfeito, apesar de ser um item a parte, a GCam que baixei não funcionou corretamente. Começou bem, mas após alguns minutos de uso começou a dar erro. Desinstalei e reinstalei, mas o erro logo tornou a repetir, fazendo com que eu optasse em manter somente o app de câmera original da Xiaomi, que me atende perfeitamente e acima das minhas expectativas.",5.0,15/03/2020,Good
Não fui feliz na minha compra,"Menos de 1 mês de uso e o celular estragou, a tela ficou toda riscada, ele começou a mexer sozinho, acessar aplicativos, fazer chamadas e por fim o touch simplesmente não funciona mais. Vou enviar pra garantia mas estou bem infeliz com a minha compra, principalmente porque vou passar quase 2 meses sem celular porque a loja está de recesso.",1.0,26/12/2019,Bad
Experiência Satisfatória! 🥰,"O aparelho, sem dúvidas com um ótimo custo benefício! O desempenho até agora não me decepcionou pois não travou em nenhum momento mesmo que já ocupada metade da memória em apps! A interface é moderna, diferente das demais marcas, o aparelho tem funções  que ainda não tinha visto em outros celulares: como compartilhamento de wi-fi por código Qr, print scren, configurações para usar com uma mão só, entre outros . Possui um desbloqueio de digital na traseira e o de face bastante eficiente.Estou apaixonada, em especial, pelas câmeras dele, que baixando o app G Cam as fotos ficaram perfeitas!O som é alto correspondeu às minhas expectativas.Comprei no site da Amazon pela primeira vez, e o vendedor  foi bastante atencioso, respondeu todas as minhas dúvidas(Nome da loja: Magnific!).Solicitei que viesse a nota fiscal e fui atendida.Enfim. Compre, você não vai se arrepender",5.0,4/08/2020,Good
Perfeito,"Excelente a experiência, o produto chegou antes do prazo. Veio lacrado, com nota fiscal na parte externa da caixa e tudo funcionando.Tinha ficado preocupado devido alguns comentários negativos, no entanto esclareci as dúvidas com o vendedor e ele deixou tudo claro. Podem comprar sem medo!Atenciosamente,Renato Melo",5.0,28/10/2020,Good
Confiável,"Chegou em perfeito estado, lacrado, original e versão global, dentro do prazo, tudo certo",5.0,23/10/2019,Good
Maravilhoso,"A bateria não é tão boa quanto do meu antigo celular (Moto G5s), mas acredito que seja por conta de ter mais funções. Fora isso, não tenho do que reclamar, dura um dia inteiro com vídeos, jogos e redes sociais.Comprei em Dezembro na Black Friday, chegou na terça feira, menos de uma semana. Até hoje não tive nenhum problema com ele, não trava. Tem funções de limpeza que o deixam mais rápido ainda.Edit: Faz 5 meses que comprei, e a bateria continua durando do mesmo jeito. Nunca travou, mesmo com trocentos aplicativos instalados, e as vezes funcionando vários ao mesmo tempo em segundo plano. Quem comprar não vai se arrepender.",5.0,5/03/2020,Good
Ótimo,"Por vários anos tive celulares da Samsung (S3, S4, S5) e da Motorola (G6, G7, G8), mas depois de receber bons feedbacks e pesquisar na internet, encontrei esse Xiaomi. O aparelho é ótimo, muito mais fluido do que Samsung ou Motorola, sem travamentos. A câmera é simplesmente espetacular. Um ponto negativo é que vários apps da Xiaomi vem instalado (assim como no caso da Samsung) mas são facilmente retirados do smartphone. Minha avaliação é super positiva até o momento, e vale muito o preço pago.Recomendo a compra.",5.0,21/06/2020,Good
Melhor Intermediário da Xiaomi,"Sobre o CelularBateria : gasta em média 7% por hora com uso leve e 13% por hora com uso pesado (games) . O tempo de carregamento total gira em torno de 2h e 30 minutos.Tela: a tela é boa (full hd) , cores ok , boa sensibilidade para games.Desempenho: O celular com seus 4Gb de RAM e um Sd 665 desempenha muito bem redes sociais e games não muito pesados. Free fire, Clash royale e Cod mobile rodam no máximo com fps variável, mas no mínimo é sempre 60 fps  cravado , exceto asphalt 9  , fortnite e entre outros jogos pesadões.Interface: Eu particularmente gosto do sistema operacional da Xiaomi (Miui) ,que por enquanto está na 11 mas em breve será atualizada para 12.Câmeras: Particularmente as únicas interessantes são a frontal de 13mp e a principal traseira de 48mp.Construção : Particularmente fico incomodado com a entrada p2 ser na extremidade do celular , e não no meio , o que dificulta jogar games horizontais . Além disso , há apenas uma saída de áudio e possivelmente você vai acabar tampando ela quando for jogar.O celular ainda vem com um sensor infravermelho que funciona razoalvelmente, mas apenas se você apontar o celular diretamente para o aparelho e estiver próximo.Ademais , as câmeras traseiras acabam por ficar com marcas de dedo pra quem usa o celular na horizontal , o que pode incomodar posteriormente.Conclusão: Por mais ou menos 1050 reais você dificilmente vai achar um opção melhor que esse celular atualmente , melhor intermediário da Xiaomi.",5.0,13/03/2020,Good
Satisfeito com o produto,"O celular é perfeito. Troquei de um moto g5 para esse e superou todas as expectativas. A bateria não é a das melhores quando se trata de jogos, mas se usado o celular normalmente a bateria encaixa no esperado de durar até 2 dias! A câmera poderia ser melhor, mas também estou satisfeito. Se o diferencial pra você for a câmera, vale a pena continuar pesquisando celulares. No mais, gostei do desempenho do celular, da beleza dele, também conta com grande disponibilidade de aplicativos, funções e temas. Tirando a grande quantidade de anúncios e aplicativos pré instalados (facilmente resolviveis), a Xiaomi não me decepcionou.",5.0,8/03/2021,Good
Ótimo aparelho,"O vendedor apresentou o código de rastreamento logo após o envio. A única coisa que faltou no processo foi a Nota Fiscal Eletrônica, que foi necessário solicitar, algo que não é de costume em compras pela internet porque os vendedores já emitem a nota e enviam para o cliente mesmo antes de a mercadoria chegar. Após solicitação, rapidamente o vendedor enviou a nota por e-mail e confirmou a garantia de 3 meses. O produto é como descrito e o carregador do celular não é padrão brasileiro, mas isso pode ser superado com um adaptador simples.",5.0,25/08/2020,Good
Vale a pena pelo preço,"Pontos positivos:- O telefone é de muito boa qualidade.- A câmera tem uma imagem muito boa e está intacta há 1 ano.- A bateria dura o dia todo, mesmo que eu a use sempre.- Os processos são rápidos e você nunca fica preso.Pontos ruins:- Você não pode ver muito bem com a luz do sol, poderia ter mais iluminação.- No início, houve um problema de software. Não consegui ver na tela quando me ligaram, mas se pude ouvir a ligação, com o tempo foi consertado.",4.0,1/02/2021,Good
Produto com boa qualidade,"Estou gostando da experiecia. No começo tive um pouco de receio mas, acredito que esta tudo certinho.O produto só não ganhou nota maxima pois possue um defeito que eu não gostei e nao sei se é padrão para a marca: Ele fica com a marca d'agua do ultimo app que vc usou, por exemplo: Você abre o facebook no celular e vai usando, muitas coisas dentro do app do facebook vão interagundo ou mudando, porém, alguns botões e imagens ficam parados enquanto você usa o app (tipo o logo do face no canto superior esquerdo), se você usar por 20min ou + o app, ele vai deixar a marca d'agua do logo do facebook na tela de desbloqueio e na area de trabalho do celular... é chato..",4.0,28/04/2020,Good
Problema no celular e demora no concerto,"Gostei porém o celular estragou como se fosse um fantasma na tela, tive que enviar pra garantia com meus custos e a loja ainda não me enviou mandei início de maio eles receberam dia 18 de junho porém até agora nenhum retorno da loja pra dizer o que houve !",5.0,5/07/2020,Good
"Entrega rápida, nota fiscal pedi e o fornecedor enviou pelo email","entrega ser super rápida (comprei no domingo, chegou na terça-feira moro). Vi q nós comentários o produto não vinha com nota fiscal, realmente o meu TB não chegou, mais enviei um e-mail ao fornecedor, e ele me enviou a nota fiscal pelo email, o que foi muito prestativo da parte dele. O celular é maravilhoso, ainda mais pra quem está saindo dos samsungs da vida... Carrega super rápido, a bateria tem uma boa durabilidade. Não trava, e a câmera é maravilhosa. Além do design ser super lindo... Estou amando.",5.0,25/11/2020,Good
Entrega Rápida,"O Produto veio em menos de 1 semana, entregaram muito rápido, chegou tudo certinho, e para aqueles que vao comprar, ele ja vem com capinha junto, n é necessário comprar uma outra n, o unico problema é q a xiaomi n vem com fones de ouvidos e tem q comprar a parte :)",5.0,16/02/2021,Good
Péssimo,"Avariou após ~9 meses (primeiro tela, depois antena), Xiaomi recusou honrar garantia e prestar qualquer tipo de assistência alegando que o aparelho não foi distribuído de forma oficial no Brasil e não tinham acesso às informações do mesmo não obstante eu ter disponibilizado todas as informações relevantes.",1.0,16/11/2021,Bad
Chegou rápido e em perfeito estado,"Excelente smartphone, muito bonito e a entrega foi muito rápida, a entrega estava prevista  para o dia 20 ao  dia 29/11  e já recebi hoje dia 04/11.Parabéns  ao vendedor e a Amazon, estou muito satisfeito com o produto, show de bola !",5.0,4/11/2019,Good
"Entrega relâmpago, aparelho maravilhoso!","Pedi o aparelho no dia 28/11 a tarde, o pedido chegou dia 30/11 de manhã. Nunca vi entrega tão rápidaaaaa, ainda mais que a previsão estava pro dia 17 de dezembro. O vendedor foi super atencioso, o aparelho veio correto, muito bem embalado, com todo o cuidado necessário. Sobre o aparelho, muitoooo bom, o melhor custo benefício do mercado, sem dúvida. A bateria dura demais, a tela infinita é incrível e as quatro câmeras trabalham de maneira extraordinária, ainda mais com a GCAM. Podem comprar sem medo, o aparelho é magnífico e o vendedor, nossa, tô besta até agora.",5.0,2/12/2019,Good
Produto original com bateria excelente,"Chegou bem antes do prazo, produto original e com nota fiscal, verifiquei no site da xiaomi se o n/s ou o IMEI batiam certo com o produto. Produto top demais, bateria carrego quando chego do trabalho, está 100% na base de 1 hr e meia, jogo pubg a noite, umas 5 a 7 partidas e uso normalmente no outro dia, e so carrego quando chego do trabalho. Produto top.Vendedor start magazine.",5.0,5/07/2020,Good
Ótimo custo-benefício,"Um aparelho de ótimo custo-benefício. A bateria tem longa duração e o desempenho dele também não deixa a desejar em relação ao modelos que já conhecemos. Não me arrependi da compra e certamente ficarei com o parelho por um bom tempo antes de pensar em trocá-lo. O único porém é que não vem com fone de ouvido, apenas uma capinha simples e o carregador, ou seja, outros acessórios somente à parte.",5.0,3/08/2020,Good
Luta com a Esposa!,"Minha esposa sempre teve iphone. Ela tinha um iphone 7 que já não tinha mais espaço interno e a bateria durava muito pouco tempo. Ai tive a brilhante ideia de lhe dar o Xiaomi Note 8 de presente de Natal. No dia que recebeu o presente ela não conseguiu disfarçar a cara de frustração ao ver que não era um novo iphone. Eu sabia dos riscos que estava correndo mas na hora que vi a cara dela imediatamente pensei; $#@deu. Ela não disfarçou a insatisfação mas resolveu tentar...Para minha sorte, o celular é bom. As câmeras são boas, tem um espaço interno maior e com possibilidade de expansão e aos poucos ela foi se convencendo de que se tratava de um bom aparelho e que tudo ia ficar bem. Ela até achou estranho a bateria durar tanto tempo!! Meu único arrependimento é ter comprado o preto, acho que se eu tivesse dado um branco ou azul minha vida teria voltado ao normal logo....Eu recomendo!!!",5.0,27/01/2020,Good
Muito bom.,"Meu único arrependimento foi não ter pego o de 128gb.Apesar de toda demora, devido ao cenário atual, o aparelho veio certinho. Por ser a versão global, eu nem me atentei ao carregador que não veio adaptado pro Brasil, mas é só você usar um adaptador que ta beleza (aqui em casa alguns espelhos de tomada são antigos, então facilita).Até agora o aparelho não me deu problema, ja estou com ele há 05 dias, mesmo assim acho importante dar um feedback, até porque diversas lojas tem feito ofertas bizarras dos Xiaomis e quem realmente precisar de um aparelho precisa ler algo relevante pra ajudar na hora da compra. JC me contratem pra ajudar nas vendas!4Beijos escravos do capitalismo HAHAHA!Obrigado pela paciência em responder meu e-mails de ansiedade.",4.0,18/05/2020,Good
APAIXONADA PELO XIAOMI REDMI NOTE 8,"Amei meu celular, realmente é perfeito, lindo, o processador dele é maravilhoso, bateria... Não tenho o q falar. Chegou antes , dois dias antes do esperado. Rastreamento atualizado. O celular é original . A única coisa q n gostei foi o carregador q tem uma entrada tipo garfo, q usam na China e me parece q são Paulo tbm, mas eu arrumei um adaptador e resolvi o problema. Só acho fraco a questão do Xiaomi não vir com um fone de ouvido e a capinha é legal mas não protege a câmera do celular q é bastante saltada. Mas de resto é um dos melhores celulares q já vi na vida, ah e outra, n precisei baixar nenhum app, todos q estavam no meu outro celular , passaram pro meu xiaomi e atualizado, achei isso incrível!",5.0,18/06/2020,Good
"O celular é uma máquina, se você quer um celular misto.. que sirva para trabalho, jogos e fotos","O aparelho é muito bom. Confesso que me surpreendeu. Câmera: é boa dá pra usar e fazer filmagem no incrível 4k( Tem opção de diminuir a qualidade.) Câmera para foto eu diria que é boa. Mas não a melhor, nesse critério o iPhone ainda sai na frente. Processador: incrível.. não teria como descrever melhor. RAM: 4 de Ram consigo jogar os melhores jogos no Full ex: Call of Dutty sem ficar legando.PONTO NEGATIVO: Embora o celular seja uma máquina.. Ah bateria não tem a durabilidade que eu esperava.  Usando apps básicos o celular chega um pouco depois da matade do dia com 10% de bateria tendo assim que recarregar de novo.",4.0,16/08/2020,Good
Me impressionou,"Xiaomi virou a minha nova marca favorita. Celular muito bem construído, otima câmera, rápido e muito bonito. Só estranhei um pouco o peso no início mas logo acostuma. Acredito que o unico defeito seja o software que de vez em quando da problema e reinicia e causa travamentos. Mas que é atualizado com uma frequência satisfatória e que vai resolvendo e/ou diminuindo consideralmente o problema.Foi um presente pra minha esposa mas logo q o dólar baixar, garantirei um para mim.",5.0,2/12/2020,Good
Bom recomendo.,"O custo benefício do aparelho e muito bom, ele não pega o 4G da B28 (700MHZ) mas as outras frequências 4G funciona perfeitamente, achei fraco o sinal de GPS dele, duração de bateria e boa.A entrega foi rápido.",5.0,9/11/2019,Good
Superou minhas expectativas...,"Primeiro, a câmera, além de ser ótima, vem com diversas funções (entre elas, câmera lenta, retrato, macro, etc). Com relação a bateria, achei que durava mais... Com a att da miui 10 para 11, a bateria, de acordo com quem usava o celular antes, perdeu horas de uso. Mas nem por isso ela é ruim, ou até mesmo um motivo para não comprar o aparelho. Para quem nunca usou a miui antes, assim como eu, vai se surpreender, pois este SO é bemmm bom! Sobre desempenho, não tenho nada a reclamar, pois não costumo jogar em celulares. Recomendo à todos que desejam pagar pouco e ganhar muito, menos para quem deseja ficar uns 6/7 anos com o próprio, pois suas especificações não são propícias para isso!",5.0,16/03/2020,Good
Ótimo custo-benefício.,"- O celular é realmente ótimo pelo preço.- A bateria não tem a melhor performance, comparado a minha experiência Redmi Note 5. Mas ainda não fui afundo nas configurações para tentar ajustar, pois isso não ocorre todos dias. Tranquilamente posso pegar no sono sem me preocupar se coloquei o celular para carregar.- Já tive algumas experiências com leves travamentos.- O carregador veio sem não adaptado às tomadas atuais do Brasil.",4.0,30/01/2020,Good
Excelente aparelho,"Embora seja uma  usuária básica, super recomendo este celular para todos. A camera é de ótima qualidade, bom som, também é bastante rápido no processamento das informações. A bateria dura o dia todo e o carregamento é muito rápido. O aparelho veio com carregador padrão brasileiro, mais a capa Xiaomi. A compra chegou em 5 dias uteis, vale salientar que estamos em tempos de restrições por conta do COVID-19. Amei a função ajuste automático de luminosidade, sem falar nas inúmeras funções de excelente utilidade para o dia a dia. Um porém é que quando fui registrar o IMEI no site da Xiaomi, lá informa que não é original. Mas estou amando minha aquisição.",5.0,16/04/2020,Good
Pontos negativos que precisam ser ditos,"Ótimo celular, a única coisa que deixa a desejar é a câmera frontal, por ser um celular asiático entendo que está adaptado aos gostos asiáticos em que as selfies devam ser mais claras e um pouco embaçadas (bem pouco), então para uma selfie melhor recomendo clicar e arrastar pra baixo, assim vai escurecer um pouco. As quad câmeras são maravilhosas e dão conta do recado, mas tem que ter precisão principalmente para fotos em HD.Outro ponto negativo é que o microfone é extremamente baixo.Ótimo desempenho do smartphone e bateria, sem contar a memória que dá conta do recado.Da pra gravar a tela sem a interrupção de barulhos externos.",5.0,20/05/2020,Good
"Celular ótimo, custo-benefício excelente.","Celular bem completo, com vários aplicativos da própria Xiaomi (Ponto negativo: Não conseguir desativar apps da Xiaomi e alguns da Google), tem uma boa pegada e carrega rápido. Veio bem embalado e com todos os acessórios, e com plug de tomada padrão BR. Ponto negativo que posso apontar como ex usuário de Motorola é que sinto falta da área onde você consegue ver todos os seus apps apenas arrastando para cima, isso já não possui no aparelho (eu acho). Não apresentou problemas de fabrica no seu primeiro dia de uso. Sobre a memoria... um aviso para quem pensa em comprar. Ele possui 11GB dedicado ao SISTEMA, ou seja, vocês terão apenas 53GB livre para uso. O seu custo beneficio é indiscutível comparando com celulares que encontramos em vitrines de lojas por ai ou em shoppings. Chegou 1 dia antes da data prevista. A sua bateria foi carregada totalmente ás 18:00 (21/01) antes de ligar o aparelho para testes, e com um uso normal no Whatsapp e Youtube, e hoje (22/01) as 16:00 ele ainda está com 23%, consegui utilizá-lo todo o dia, mas para jogos acredito que vocês terão que realizar 2 recargas por dia. Apliquei uma película e uma capinha para maior proteção por ser rodeado de vidro. Recomendo o aparelho para quem realmente fez suas pesquisas e está pensando em comprar o Redmi Note 8. Muito bom! ATENÇÃO: Notal Fiscal não está presente a encomenda, apenas uma Declaração de Conteúdo. Aconselho a entrarem em contato com o vendedor para solicitar a NF.",5.0,22/01/2020,Good
Não é tudo o que dizem,"Fiquei ansiosa para experimentar esse modelo durante um bom tempo. Criei coragem para comprar e me decepcionei um pouco. A câmera frontal não é boa, a imagem não tem foco e definição. A câmera traseira é boa porque tem várias, se você souber utilizá-las consegue fazer boas fotos. Duração da bateria é médio, parece que o sistema consome bastante da bateria. Carregando 1x por dia (uso ativo do celular uma média de 7 horas), achei mediano. Também senti que ele tem um tempo de resposta da tela mais lento, trava quando digito muito rápido no teclado, por exemplo. Enfim... um celular mediano.",4.0,2/02/2021,Good
Excelente aparelho,"Esperei uma semana para poder dar esse feedback e tenho plena convicção de que vale MUITO a pena! O designing do aparelho é impecável, as especificações técnicas dele são sensacionais e o desempenho é melhor ainda. Roda facilmente jogos pesados e várias abas abertas ao mesmo tempo. As únicas observações que tenho para fazer são quando a bateria, que dura o dia inteiro, mas não como a própria Xiaomi promete; e quanto ao carregador que não veio padrão brasileiro. Sério, porquê?? Na descrição do aparelho tinha claramente dizendo que era com padrão nacional, mas ok, nada que um adaptador baratinho não resolva. No mais, era apenas isso. Ótimo serviço, ótimo aparelho, chegou super rápido e em perfeito estado.",5.0,21/07/2020,Good
"9,5 algumas coisas poderiam melhorar","Veio a versão global, exatamente a descrita. O unico problema é que a parte traseira do celular é muito frágil, tem que tomar extremo cuidado porque qualquer coisinha pode quebrar. A duração da bateria é ótima, dura um dia todo de uso continuo ou dois de uso moderado, a camera é perfeita, se usado com o aplicativo da googlecam, ela pode ser comparada com a de um iphone facilmente. realmente, junto com o celular não vem fone, mas qualquer fone comum que você tenha em casa serve nele. o carregamento do celular é bem rápido e a interface dele é bem simples de mexer e entender. É importante ressaltar que a tela dele fica marcada quando você deixa muito tempo a tela ligada num mesmo aplicativo, mas some em questão de minutos, esse é um defeito de todos os modelos de Xiaomi pelo o que procurei. Pra um intermediário, esse é um ótimo celular",5.0,4/01/2020,Good
